"member_id","member_name","party","party_bloc","term","dwnom_1d"
"D6U6678O","김주영","더불어민주당","liberal",22,-0.244605779647827
"YM42715P","김준혁","더불어민주당","liberal",22,-0.237096697092056
"1WE5693J","김태년","더불어민주당","liberal",22,-0.121278204023838
"6WK3815W","김태선","더불어민주당","liberal",22,-0.30530047416687
"7YL9580G","김현","더불어민주당","liberal",22,-0.125358879566193
"6VC83722","김현정","더불어민주당","liberal",22,-0.121434040367603
"04T3751T","남인순","더불어민주당","liberal",22,-0.273415505886078
"FJK3396E","맹성규","더불어민주당","liberal",22,-0.109868325293064
"J1G57517","모경종","더불어민주당","liberal",22,-0.276613801717758
"GRP3908I","문금주","더불어민주당","liberal",22,-0.415968507528305
"GOC54665","문정복","더불어민주당","liberal",22,-0.272089123725891
"4U29186R","문진석","더불어민주당","liberal",22,-0.212772876024246
"TZ228122","민병덕","더불어민주당","liberal",22,-0.299282342195511
"VRY5522V","민형배","더불어민주당","liberal",22,-0.490952342748642
"O6D8329R","민홍철","더불어민주당","liberal",22,-0.279994428157806
"IWR8966I","박균택","더불어민주당","liberal",22,-0.147195115685463
"M4O5221T","박민규","더불어민주당","liberal",22,-0.131081938743591
"HXT76735","박상혁","더불어민주당","liberal",22,-0.178121998906136
"VZA76236","박선원","더불어민주당","liberal",22,-0.377937257289886
"IL74008M","박성준","더불어민주당","liberal",22,-0.0898389220237732
"1JI2689F","박용갑","더불어민주당","liberal",22,-0.130942329764366
"1A82234K","박은정","조국혁신당","rebuilding",22,-0.200086712837219
"HVV5250J","박정현","더불어민주당","liberal",22,-0.408106744289398
"6AU2417B","박주민","더불어민주당","liberal",22,-0.29382586479187
"EMH4976E","박지혜","더불어민주당","liberal",22,-0.392239719629288
"BT62420K","박찬대","더불어민주당","liberal",22,-0.300037652254105
"E2B3753X","박해철","더불어민주당","liberal",22,-0.34589096903801
"S824682L","박홍근","더불어민주당","liberal",22,-0.218932196497917
"ZW43496R","박홍배","더불어민주당","liberal",22,-0.436833798885345
"43Q3892U","박희승","더불어민주당","liberal",22,-0.316711992025375
"51A45980","서미화","더불어민주당","liberal",22,-0.296626299619675
"FOK3459D","서삼석","더불어민주당","liberal",22,-0.168974548578262
"XR24352K","서영석","더불어민주당","liberal",22,-0.155787631869316
"80C5885Z","서왕진","조국혁신당","rebuilding",22,-0.547160148620605
"SQ36001H","송기헌","더불어민주당","liberal",22,-0.209852054715157
"3249208I","송옥주","더불어민주당","liberal",22,-0.312511116266251
"AFH96856","신영대","더불어민주당","liberal",22,-0.253435522317886
