"member_id","member_name","party","party_bloc","term","wnom_1d","bridged_1d"
"06X3845L","김종석","미래한국당","conservative",20,0.462850987911224,0.462850987911224
"6QU2958D","김해영","더불어민주당","liberal",20,-0.170193910598755,-0.170193910598755
"MPV9321A","김현권","더불어민주당","liberal",20,-0.480117321014404,-0.480117321014404
"GN240959","노회찬","정의당","progressive",20,-0.678304076194763,-0.678304076194763
"TGL10010","문미옥","더불어민주당","liberal",20,-0.410591185092926,-0.410591185092926
"JMD3241I","박경미","더불어민주당","liberal",20,-0.35276985168457,-0.35276985168457
"24E9427D","박남춘","더불어민주당","liberal",20,-0.237465783953667,-0.237465783953667
"MC32279F","박선숙","민생당","liberal_minor",20,-0.260688364505768,-0.260688364505768
"QUO78839","박재호","더불어민주당","liberal",20,-0.422876745462418,-0.422876745462418
"4019850M","박정","더불어민주당","liberal",20,-0.380614936351776,-0.380614936351776
"6AU2417B","박주민","더불어민주당","liberal",20,-0.27748253941536,-0.27748253941536
"8BF5855P","박지원","더불어민주당","liberal",20,-0.122671164572239,-0.122671164572239
"S824682L","박홍근","더불어민주당","liberal",20,-0.441649228334427,-0.441649228334427
"HSS7466Y","백혜련","더불어민주당","liberal",20,-0.310191452503204,-0.310191452503204
"6N28669V","서형수","더불어민주당","liberal",20,-0.419115602970123,-0.419115602970123
"PAO22428","송영길","더불어민주당","liberal",20,-0.369006961584091,-0.369006961584091
"3249208I","송옥주","더불어민주당","liberal",20,-0.329625397920609,-0.329625397920609
"1PZ8289D","송희경","미래한국당","conservative",20,0.322346061468124,0.322346061468124
"G1570880","신동근","더불어민주당","liberal",20,-0.425727665424347,-0.425727665424347
"HE838063","신보라","미래통합당","conservative",20,0.437552809715271,0.437552809715271
"ZA54991S","안민석","더불어민주당","liberal",20,-0.20273768901825,-0.20273768901825
"A486635H","안상수","미래통합당","conservative",20,0.553018748760223,0.553018748760223
"TIS61927","양승조","더불어민주당","liberal",20,-0.146765530109406,-0.146765530109406
"SSF6805Q","염동열","미래한국당","conservative",20,0.341790229082108,0.341790229082108
"M6K7940A","오세정","바른미래당","independent",20,0.0583516769111156,0.0583516769111156
"21N57758","오영훈","더불어민주당","liberal",20,-0.320462316274643,-0.320462316274643
"5CO4531H","유은혜","더불어민주당","liberal",20,-0.459333598613739,-0.459333598613739
"3TP65086","윤종오","진보당","progressive",20,-0.715468108654022,-0.715468108654022
