"member_id","member_name","party","party_bloc","term","wnom_1d","wnom_2d"
"ZRF3039U","윤재옥","국민의힘","conservative",21,0.532121062278748,0.213065087795258
"ZDP5704Q","윤주경","국민의힘","conservative",21,0.709091305732727,-0.106440477073193
"JC14718Q","윤준병","더불어민주당","liberal",21,-0.529771268367767,-0.109428577125072
"M0A1658U","윤호중","더불어민주당","liberal",21,-0.322916269302368,-0.273864388465881
"I7R13867","이개호","더불어민주당","liberal",21,-0.334150642156601,-0.157827645540237
"RO593601","이동주","더불어민주당","liberal",21,-0.3748819231987,-0.105042330920696
"OSV9142K","이만희","국민의힘","conservative",21,0.466697812080383,0.211968392133713
"6YT83269","이명수","국민의힘","conservative",21,0.304908931255341,0.0326943621039391
"CFE3998F","이상직","무소속","independent",21,-0.216150522232056,0.123279519379139
"WVU2479T","이상헌","무소속","independent",21,-0.379971742630005,-0.212904676795006
"8KF7223D","이성만","무소속","independent",21,-0.404178202152252,-0.130986794829369
"WTR5885Y","이소영","더불어민주당","liberal",21,-0.5335573554039,-0.151682049036026
"D4L60530","이수진","무소속","independent",21,-0.33979120850563,-0.217208191752434
"9JF4562W","이용선","더불어민주당","liberal",21,-0.407699763774872,-0.25019234418869
"G7512472","이용우","더불어민주당","liberal",21,-0.515336632728577,0.0556050278246403
"16D7652C","이원욱","개혁신당","centrist",21,-0.350084960460663,-0.0757862478494644
"W1Q6753M","이은주","정의당","progressive",21,-0.831066966056824,0.556172370910645
"7I09543O","이장섭","더불어민주당","liberal",21,-0.34207946062088,-0.203866511583328
"UQ282145","이재정","더불어민주당","liberal",21,-0.516267418861389,-0.0536263547837734
"O0I2045I","이정문","더불어민주당","liberal",21,-0.319029629230499,-0.196305051445961
"HSW1214Q","이종배","국민의힘","conservative",21,0.378529667854309,0.132363483309746
"3RW63706","이주환","국민의힘","conservative",21,0.368986785411835,0.0401976257562637
"WDS6044S","이채익","국민의힘","conservative",21,0.374050050973892,0.0698283985257149
"TZP9391O","이철규","국민의힘","conservative",21,0.58403867483139,0.31862398982048
"CCU1009B","이해식","더불어민주당","liberal",21,-0.440636277198792,-0.152599424123764
"EVH1507C","이헌승","국민의힘","conservative",21,0.463545769453049,0.0759807601571083
"IOW8224X","이형석","더불어민주당","liberal",21,-0.409488528966904,-0.103368602693081
"4T026790","임오경","더불어민주당","liberal",21,-0.331288725137711,-0.203261062502861
"EH27538E","임이자","국민의힘","conservative",21,0.405523538589478,0.255933672189713
"E6U4345C","임종성","더불어민주당","liberal",21,-0.593949377536774,-0.11422897875309
"RPN2293B","장경태","더불어민주당","liberal",21,-0.345090240240097,-0.188117191195488
"CZB4125D","장제원","국민의힘","conservative",21,0.43615534901619,0.206934154033661
"2NV6751W","장철민","더불어민주당","liberal",21,-0.550128161907196,-0.0787338986992836
"GAV6441G","장혜영","정의당","progressive",21,-0.844829320907593,0.535035908222198
"TJW93720","전용기","더불어민주당","liberal",21,-0.403787046670914,-0.238339990377426
"9YO73104","전재수","더불어민주당","liberal",21,-0.343612730503082,-0.162868291139603
"71J2365L","전주혜","국민의힘","conservative",21,0.592466473579407,-0.0777792185544968
"N9X9673B","전혜숙","무소속","independent",21,-0.372169673442841,-0.204776957631111
"USR7059P","정경희","국민의힘","conservative",21,0.903441309928894,0.107433274388313
"DAY6557K","정동만","국민의힘","conservative",21,0.402301162481308,0.0744145810604095
"V429892C","정성호","더불어민주당","liberal",21,-0.313505262136459,-0.224475249648094
"NZF1659U","정운천","국민의힘","conservative",21,0.314216166734695,0.129026904702187
"SBK1544B","정찬민","국민의힘","conservative",21,0.392742305994034,0.00337435770779848
"2385336L","정청래","더불어민주당","liberal",21,-0.313944101333618,-0.158657923340797
"MD083627","정춘숙","더불어민주당","liberal",21,-0.367844760417938,-0.227255150675774
"UHB5553T","정태호","더불어민주당","liberal",21,-0.366284310817719,-0.175538077950478
"3425169D","정필모","더불어민주당","liberal",21,-0.550917029380798,0.0240736454725266
"PFG2137X","정희용","국민의힘","conservative",21,0.392525911331177,0.0955950543284416
"5KV82250","조경태","국민의힘","conservative",21,0.603578925132751,0.438392549753189
"S741317G","조명희","국민의힘","conservative",21,0.57461428642273,0.178355246782303
"FYI20317","조승래","더불어민주당","liberal",21,-0.385986089706421,-0.353300243616104
"25I8709Q","조오섭","더불어민주당","liberal",21,-0.478340417146683,-0.22800686955452
"IN328264","조정식","더불어민주당","liberal",21,-0.323944509029388,-0.266363888978958
"T465023H","주철현","더불어민주당","liberal",21,-0.294270277023315,-0.32155779004097
"8SV6917G","주호영","국민의힘","conservative",21,0.617852509021759,0.2238809466362
"68P7228G","진선미","더불어민주당","liberal",21,-0.367854744195938,-0.245021373033524
"ICH23251","최강욱","더불어민주당","liberal",21,-0.672291398048401,0.00531260529533029
"I5I2468R","최기상","더불어민주당","liberal",21,-0.415816009044647,-0.255719780921936
"M7T9712V","최승재","국민의힘","conservative",21,0.664339184761047,0.485950887203217
"LPB30152","최인호","더불어민주당","liberal",21,-0.359314441680908,-0.30320805311203
"Z7Y7827F","최종윤","더불어민주당","liberal",21,-0.344142347574234,-0.196074709296227
"3DK8989T","최춘식","국민의힘","conservative",21,0.453956723213196,0.0296906232833862
"A0P4646G","최형두","국민의힘","conservative",21,0.39249375462532,-0.023343026638031
"QD25323M","최혜영","더불어민주당","liberal",21,-0.539073050022125,-0.174133017659187
"XJC13432","태영호","국민의힘","conservative",21,0.349983483552933,0.046037383377552
"I0S53762","하태경","국민의힘","conservative",21,0.378469824790955,-0.0614062733948231
"JQA21112","한기호","국민의힘","conservative",21,0.917552828788757,0.124262288212776
"UB114374","한무경","국민의힘","conservative",21,0.815737664699554,0.0070229540579021
"XPP2564T","한정애","더불어민주당","liberal",21,-0.396827667951584,-0.0536901392042637
"FU53642G","허영","더불어민주당","liberal",21,-0.457216531038284,-0.0899392291903496
